      dNpipm/dy     dV/dy[fm3]        Vc[fm3]            d/p          He3/p         H3La/p          He4/p
       0.155843              1              1    0.000121572    6.93548e-09    3.58469e-09    3.20659e-13
       0.228961        1.39317        1.39317    0.000154338    1.14019e-08    6.27757e-09    6.35122e-13
       0.342221        1.94091        1.94091    0.000201594    1.99102e-08    1.14085e-08    1.38302e-12
       0.522145        2.70402        2.70402    0.000270353     3.6667e-08    2.14172e-08    3.29281e-12
       0.814642        3.76715        3.76715    0.000371248    7.07102e-08    4.13367e-08    8.48472e-12
        1.29622        5.24826        5.24826    0.000520053    1.41691e-07    8.15378e-08    2.33455e-11
        2.08113        7.31171        7.31171    0.000738742    2.91922e-07    1.62884e-07    6.74105e-11
        3.30782        10.1864        10.1864     0.00105366    6.08188e-07    3.24761e-07    1.99431e-10
        5.11027        14.1914        14.1914     0.00148636    1.24955e-06    6.32542e-07    5.84656e-10
        7.63879         19.771         19.771      0.0020341    2.45001e-06    1.17113e-06    1.62753e-09
        11.1291        27.5443        27.5443     0.00264894    4.42527e-06    2.00202e-06    4.10234e-09
        15.9458        38.3738        38.3738     0.00324412    7.16104e-06    3.08779e-06    8.97286e-09
        22.6192        53.4611        53.4611     0.00374446    1.02991e-05    4.27187e-06     1.6655e-08
        31.8946        74.4802        74.4802      0.0041281    1.33584e-05    5.37905e-06    2.64166e-08
        44.8047        103.763        103.763      0.0044108    1.60238e-05    6.31307e-06    3.68112e-08
        62.7835         144.56         144.56     0.00461624    1.81911e-05    7.05484e-06    4.65604e-08
        87.8263        201.396        201.396     0.00476468    1.98808e-05    7.62346e-06    5.49551e-08
        122.712        280.578        280.578     0.00487164    2.11635e-05    8.05001e-06    6.17843e-08
        171.311        390.892        390.892      0.0049486    2.21206e-05    8.36555e-06    6.71318e-08
        239.016        544.578        544.578     0.00500393    2.28264e-05    8.59684e-06    7.12116e-08
        333.339        758.688        758.688      0.0050437    2.33427e-05    8.76533e-06     7.4269e-08
        464.748        1056.98        1056.98     0.00507223    2.37183e-05    8.88749e-06    7.65307e-08
        647.827        1472.55        1472.55     0.00509267    2.39903e-05    8.97575e-06    7.81891e-08
        902.876         2051.5         2051.5     0.00510743    2.41869e-05    9.03939e-06     7.9399e-08
        1258.18        2858.09        2858.09     0.00511817    2.43294e-05    9.08549e-06    8.02809e-08
        1753.17        3981.79        3981.79     0.00512598    2.44337e-05     9.1195e-06    8.09289e-08
        2442.83         5547.3         5547.3     0.00513136    2.45075e-05    9.14368e-06    8.13877e-08
        3403.72        7728.32        7728.32     0.00513464    2.45545e-05    9.15871e-06    8.16805e-08
        4742.41        10766.8        10766.8     0.00513692    2.45869e-05    9.16853e-06    8.18844e-08
        6607.36          15000          15000     0.00513932    2.46185e-05    9.17828e-06    8.20843e-08
            HML            HML            HML     0.00514494    2.46926e-05    9.20297e-06    8.25483e-08
