      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0
              3       0.173144            7.2           21.6       0.762394       0.145716      0.0048261      0.0169256      0.0787515    0.000714976      0.0369392      0.0494687       0.121637       0.334632       0.256087
        3.20365       0.172973        7.68877        23.0663       0.763213       0.145831     0.00482024      0.0169382      0.0785453    0.000713934      0.0368664      0.0494622        0.12155       0.334318       0.255991
        3.42113       0.172802        8.21072        24.6322       0.764084       0.145954     0.00481492      0.0169527      0.0783383     0.00071302      0.0367955      0.0494581       0.121461       0.334002       0.255879
        3.65337       0.172631         8.7681        26.3043       0.765011       0.146085     0.00481018      0.0169692      0.0781306    0.000712239      0.0367266      0.0494565        0.12137       0.333684       0.255749
        3.90138       0.172461        9.36332          28.09       0.765997       0.146226     0.00480605      0.0169879      0.0779221    0.000711601      0.0366599      0.0494576       0.121277       0.333363       0.255601
        4.16623        0.17229        9.99894        29.9968       0.767045       0.146377     0.00480256      0.0170089      0.0777129    0.000711112      0.0365954      0.0494615       0.121183        0.33304       0.255433
        4.44905       0.172119        10.6777        32.0332       0.768159       0.146538     0.00479977      0.0170324      0.0775028    0.000710782      0.0365333      0.0494685       0.121086       0.332714       0.255245
        4.75107       0.171948        11.4026        34.2077       0.769342        0.14671     0.00479769      0.0170585      0.0772919     0.00071062      0.0364738      0.0494786       0.120987       0.332385       0.255035
         5.0736       0.171777        12.1766        36.5299         0.7706       0.146894     0.00479639      0.0170873        0.07708    0.000710634      0.0364169      0.0494922       0.120885       0.332053       0.254803
        5.41802       0.171607        13.0032        39.0097       0.771935        0.14709     0.00479588      0.0171191      0.0768673    0.000710835      0.0363628      0.0495093       0.120782       0.331719       0.254546
        5.78582       0.171436         13.886        41.6579       0.773352       0.147299     0.00479623      0.0171539      0.0766536    0.000711233      0.0363116      0.0495303       0.120676       0.331381       0.254264
        6.17858       0.171265        14.8286        44.4858       0.774856       0.147522     0.00479748       0.017192      0.0764389    0.000711839      0.0362636      0.0495553       0.120568       0.331041       0.253957
        6.59801       0.171094        15.8352        47.5057       0.776451       0.147759     0.00479966      0.0172336      0.0762232    0.000712663      0.0362188      0.0495845       0.120457       0.330698       0.253621
        7.04592       0.170924        16.9102        50.7306       0.778142       0.148012     0.00480284      0.0172788      0.0760065    0.000713717      0.0361774      0.0496182       0.120343       0.330351       0.253257
        7.52423       0.170753        18.0581        54.1744       0.779933        0.14828     0.00480707      0.0173278      0.0757886    0.000715014      0.0361395      0.0496566       0.120227       0.330001       0.252863
        8.03501       0.170582         19.284         57.852        0.78183       0.148566     0.00481238       0.017381      0.0755696    0.000716566      0.0361054      0.0496998       0.120108       0.329647       0.252438
        8.58046       0.170411        20.5931        61.7793       0.783838       0.148869     0.00481884      0.0174383      0.0753494    0.000718385      0.0360752      0.0497483       0.119986        0.32929       0.251981
        9.16294       0.170241        21.9911        65.9732       0.785961        0.14919      0.0048265      0.0175002      0.0751281    0.000720485       0.036049      0.0498021       0.119861        0.32893        0.25149
        9.78496        0.17007        23.4839        70.4517       0.788206       0.149531     0.00483541      0.0175667      0.0749055     0.00072288       0.036027      0.0498616       0.119733       0.328565       0.250964
        10.4492       0.169899        25.0781        75.2343       0.790577       0.149892     0.00484563      0.0176382      0.0746816    0.000725583      0.0360095      0.0499269       0.119601       0.328197       0.250403
        11.1586       0.169728        26.7805        80.3416        0.79308       0.150274     0.00485721      0.0177148      0.0744563    0.000728609      0.0359964      0.0499984       0.119467       0.327825       0.249805
         11.916       0.169557        28.5985        85.7955        0.79572       0.150678     0.00487021      0.0177968      0.0742298    0.000731972       0.035988      0.0500762       0.119329       0.327448       0.249169
         12.725       0.169387        30.5399        91.6197       0.798501       0.151104     0.00488468      0.0178845      0.0740018    0.000735687      0.0359844      0.0501605       0.119187       0.327068       0.248494
        13.5888       0.169216        32.6131        97.8393        0.80143       0.151554     0.00490067      0.0179779      0.0737725    0.000739767      0.0359858      0.0502516       0.119042       0.326683        0.24778
        14.5113       0.169045         34.827        104.481        0.80451       0.152027     0.00491823      0.0180774      0.0735417    0.000744228      0.0359923      0.0503497       0.118893       0.326294       0.247026
        15.4964       0.168874        37.1912        111.574       0.807747       0.152526     0.00493742      0.0181832      0.0733094    0.000749082       0.036004      0.0504549       0.118741         0.3259       0.246231
        16.5483       0.168704         39.716        119.148       0.811145        0.15305     0.00495827      0.0182954      0.0730757    0.000754345      0.0360209      0.0505674       0.118585       0.325502       0.245396
        17.6717       0.168533        42.4121        127.236       0.814707       0.153601     0.00498083      0.0184143      0.0728405    0.000760028      0.0360432      0.0506874       0.118425       0.325099       0.244519
        18.8713       0.168362        45.2912        135.874       0.818436       0.154177     0.00500512        0.01854      0.0726038    0.000766144       0.036071       0.050815       0.118261       0.324691       0.243602
        20.1524       0.168191        48.3658        145.097       0.822336       0.154781     0.00503119      0.0186728      0.0723656    0.000772704      0.0361041      0.0509501       0.118094       0.324278       0.242644
        21.5204       0.168021        51.6491        154.947       0.826408       0.155412     0.00505906      0.0188126      0.0721259    0.000779716      0.0361427       0.051093       0.117923        0.32386       0.241645
        22.9813        0.16785        55.1552        165.466       0.830654        0.15607     0.00508872      0.0189597      0.0718847     0.00078719      0.0361867      0.0512435       0.117747       0.323437       0.240608
        24.5414       0.167679        58.8994        176.698       0.835073       0.156756      0.0051202       0.019114       0.071642     0.00079513       0.036236      0.0514016       0.117568        0.32301       0.239532
        26.2074       0.167508        62.8978        188.693       0.839665       0.157469     0.00515347      0.0192756       0.071398    0.000803539      0.0362906      0.0515672       0.117385       0.322577        0.23842
        27.9865       0.167338        67.1676        201.503       0.844427       0.158208     0.00518852      0.0194445      0.0711525    0.000812418      0.0363502      0.0517401       0.117199       0.322139       0.237272
        29.8863       0.167167        71.7272        215.182       0.849357       0.158974      0.0052253      0.0196206      0.0709058    0.000821763      0.0364146      0.0519201       0.117009       0.321697       0.236093
        31.9152       0.166996        76.5964        229.789       0.854449       0.159765     0.00526378      0.0198037      0.0706578    0.000831567      0.0364836      0.0521068       0.116815       0.321249       0.234883
        34.0817       0.166825        81.7961        245.388       0.859697        0.16058     0.00530386      0.0199937      0.0704086    0.000841818      0.0365569      0.0522999       0.116618       0.320797       0.233645
        36.3953       0.166654        87.3488        262.046       0.865092       0.161417     0.00534547      0.0201901      0.0701584    0.000852499       0.036634       0.052499       0.116418        0.32034       0.232384
         38.866       0.166484        93.2785        279.835       0.870625       0.162276     0.00538849      0.0203928      0.0699072    0.000863589      0.0367146      0.0527033       0.116215       0.319878       0.231102
        41.5044       0.166313        99.6106        298.832       0.876283       0.163154     0.00543278      0.0206012      0.0696553    0.000875058      0.0367981      0.0529124        0.11601       0.319413       0.229805
        44.3219       0.166142        106.373        319.118       0.882052       0.164048     0.00547818      0.0208147      0.0694026    0.000886872       0.036884      0.0531254       0.115802       0.318943       0.228495
        47.3307       0.165971        113.594        340.781       0.887916       0.164957     0.00552452      0.0210328      0.0691495    0.000898989      0.0369716      0.0533416       0.115593        0.31847       0.227178
        50.5438       0.165801        121.305        363.915       0.893857       0.165877     0.00557157      0.0212546      0.0688961    0.000911359      0.0370602      0.0535599       0.115381       0.317994       0.225859
        53.9749        0.16563         129.54        388.619       0.899854       0.166804     0.00561911      0.0214794      0.0686425    0.000923927      0.0371491      0.0537793       0.115169       0.317515       0.224543
         57.639       0.165459        138.334        415.001       0.905884       0.167736     0.00566687      0.0217061      0.0683891    0.000936627      0.0372373      0.0539988       0.114956       0.317034       0.223237
        61.5518       0.165288        147.724        443.173       0.911923       0.168667     0.00571456      0.0219337      0.0681359    0.000949387      0.0373241      0.0542172       0.114743       0.316551       0.221944
        65.7302       0.165118        157.752        473.257       0.917945       0.169595     0.00576189      0.0221611      0.0678833    0.000962128      0.0374085      0.0544332       0.114529       0.316066       0.220673
        70.1922       0.164947        168.461        505.384       0.923922       0.170515     0.00580852      0.0223871      0.0676315    0.000974766      0.0374896      0.0546455       0.114317       0.315581       0.219428
        74.9572       0.164776        179.897        539.692       0.929824       0.171421     0.00585412      0.0226103      0.0673807    0.000987207      0.0375663      0.0548527       0.114106       0.315096       0.218215
        80.0457       0.164605         192.11        576.329       0.935623        0.17231     0.00589833      0.0228293      0.0671312    0.000999356      0.0376376      0.0550535       0.113897       0.314611       0.217041
        85.4795       0.164434        205.151        615.453       0.941287       0.173176      0.0059408      0.0230429      0.0668833     0.00101111      0.0377027      0.0552465       0.113691       0.314128       0.215911
        91.2823       0.164264        219.077        657.232       0.946787       0.174015     0.00598116      0.0232495      0.0666371     0.00102238      0.0377604      0.0554302       0.113487       0.313646       0.214831
        97.4789       0.164093        233.949        701.848       0.952092       0.174822     0.00601907      0.0234479      0.0663929     0.00103306      0.0378098      0.0556035       0.113287       0.313167       0.213805
        104.096       0.163922        249.831        749.493       0.957175       0.175593      0.0060542      0.0236366       0.066151     0.00104304      0.0378502       0.055765       0.113091       0.312691       0.212839
        111.163       0.163751        266.791        800.372       0.962009       0.176323     0.00608623      0.0238144      0.0659115     0.00105225      0.0378807      0.0559137       0.112899       0.312219       0.211936
        118.709       0.163581        284.902        854.705        0.96657       0.177009     0.00611488      0.0239802      0.0656745      0.0010606      0.0379006      0.0560484       0.112713       0.311751         0.2111
        126.768        0.16341        304.242        912.726       0.970838       0.177648     0.00613993      0.0241329      0.0654403     0.00106801      0.0379093      0.0561684       0.112531       0.311287       0.210334
        135.373       0.163239        324.895        974.686       0.974796       0.178237     0.00616118      0.0242718      0.0652089     0.00107442      0.0379065      0.0562729       0.112355       0.310829        0.20964
        144.563       0.163068        346.951        1040.85       0.978431       0.178774     0.00617848      0.0243961      0.0649804      0.0010798      0.0378918      0.0563616       0.112184       0.310376       0.209018
        154.376       0.162898        370.504        1111.51       0.981736       0.179259     0.00619178      0.0245054      0.0647548     0.00108411      0.0378651      0.0564341       0.112019       0.309928        0.20847
        164.856       0.162727        395.655        1186.97       0.984709        0.17969     0.00620104      0.0245997       0.064532     0.00108734      0.0378266      0.0564904       0.111859       0.309485       0.207994
        176.047       0.162556        422.514        1267.54       0.987351       0.180068     0.00620633      0.0246789      0.0643121      0.0010895      0.0377763      0.0565308       0.111706       0.309048       0.207589
        187.998       0.162385        451.196        1353.59        0.98967       0.180395     0.00620773      0.0247433      0.0640949     0.00109062      0.0377148      0.0565556       0.111557       0.308616       0.207252
        200.761       0.162215        481.825        1445.48       0.991679       0.180672     0.00620543      0.0247936      0.0638803     0.00109073      0.0376425      0.0565656       0.111413       0.308189       0.206979
        214.389       0.162044        514.534         1543.6       0.993396       0.180902     0.00619964      0.0248303      0.0636681     0.00108991      0.0375601      0.0565615       0.111274       0.307767       0.206768
        228.943       0.161873        549.463        1648.39       0.994839       0.181089     0.00619063      0.0248546      0.0634581     0.00108821      0.0374684      0.0565443        0.11114       0.307349       0.206613
        244.485       0.161702        586.763        1760.29       0.996034       0.181236     0.00617868      0.0248673        0.06325     0.00108572      0.0373683      0.0565153       0.111009       0.306934       0.206509
        261.081       0.161531        626.595        1879.79       0.997007       0.181347     0.00616412      0.0248698      0.0630437     0.00108252      0.0372607      0.0564756       0.110881       0.306523        0.20645
        278.805       0.161361        669.131        2007.39       0.997783       0.181427     0.00614728      0.0248632       0.062839     0.00107871      0.0371466      0.0564264       0.110756       0.306114       0.206431
        297.731        0.16119        714.555        2143.66       0.998392       0.181479     0.00612848      0.0248488      0.0626355     0.00107438      0.0370268      0.0563691       0.110634       0.305707       0.206447
        317.943       0.161019        763.062        2289.19       0.998858       0.181508     0.00610805      0.0248278       0.062433     0.00106961      0.0369024      0.0563048       0.110513       0.305301       0.206491
        339.526       0.160848        814.862        2444.59       0.999208       0.181518     0.00608627      0.0248013      0.0622314     0.00106449      0.0367741      0.0562348       0.110393       0.304897       0.206559
        362.575       0.160678        870.179        2610.54       0.999464       0.181513     0.00606343      0.0247703      0.0620305     0.00105909      0.0366428      0.0561601       0.110274       0.304493       0.206646
        387.188       0.160507        929.251        2787.75       0.999647       0.181495     0.00603976      0.0247358        0.06183     0.00105348       0.036509      0.0560815       0.110155       0.304089       0.206749
