      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0         f0/pi+
              3       0.173144            7.2           21.6       0.762394       0.132959     0.00234682      0.0190794      0.0584602    0.000183553      0.0261164      0.0447741       0.134179       0.331795       0.186233     0.00821569
        3.20365       0.172973        7.68877        23.0663       0.763213       0.134244     0.00247249      0.0189325        0.05978    0.000199837      0.0268639      0.0452161       0.133168       0.331871       0.183131     0.00815879
        3.42113       0.172802        8.21072        24.6322       0.764084       0.135414     0.00259532      0.0188018      0.0609965    0.000216597      0.0275584      0.0456107       0.132234        0.33188       0.180432     0.00810883
        3.65337       0.172631         8.7681        26.3043       0.765011        0.13648     0.00271462      0.0186861      0.0621096    0.000233728      0.0281994      0.0459628       0.131371       0.331833       0.178088     0.00806533
        3.90138       0.172461        9.36332          28.09       0.765997       0.137455     0.00282986      0.0185842      0.0631211    0.000251128      0.0287878      0.0462776       0.130573       0.331739       0.176052     0.00802781
        4.16623        0.17229        9.99894        29.9968       0.767045        0.13835     0.00294065      0.0184953      0.0640346    0.000268697      0.0293256      0.0465601       0.129832       0.331606       0.174287     0.00799586
        4.44905       0.172119        10.6777        32.0332       0.768159       0.139176     0.00304673      0.0184183      0.0648548    0.000286339      0.0298154       0.046815       0.129144       0.331441       0.172758     0.00796911
        4.75107       0.171948        11.4026        34.2077       0.769342       0.139946     0.00314801      0.0183525      0.0655875    0.000303968      0.0302607      0.0470466       0.128504       0.331249       0.171435     0.00794721
         5.0736       0.171777        12.1766        36.5299         0.7706       0.140668     0.00324449      0.0182971      0.0662389     0.00032151      0.0306649      0.0472589       0.127905       0.331034       0.170293     0.00792987
        5.41802       0.171607        13.0032        39.0097       0.771935       0.141351     0.00333628      0.0182517      0.0668157      0.0003389       0.031032      0.0474551       0.127344       0.330801       0.169311     0.00791684
