      dNpipm/dy     dV/dy[fm3]        Vc[fm3]            d/p          He3/p         H3La/p          He4/p
      0.0928902              1              3     9.3132e-05    3.49993e-09    1.68812e-09    9.41377e-14
        0.14269        1.39317         4.1795     0.00012402    6.36975e-09    3.15818e-09    2.20307e-13
       0.223818        1.94091        5.82274    0.000169141    1.21337e-08    6.08185e-09     5.5709e-13
       0.356972        2.70402        8.11205    0.000235558    2.40468e-08     1.2002e-08    1.50615e-12
       0.572334        3.76715        11.3014    0.000333638    4.92144e-08    2.41157e-08    4.29739e-12
       0.906276        5.24826        15.7448    0.000477543    1.02861e-07    4.88451e-08    1.27191e-11
        1.39585        7.31171        21.9351    0.000684023     2.1588e-07    9.82739e-08    3.81465e-11
          2.086        10.1864        30.5593    0.000967632    4.44788e-07    1.92794e-07    1.12526e-10
        3.04719        14.1914        42.5742     0.00133117    8.76227e-07    3.61178e-07    3.15399e-10
        4.38301         19.771         59.313     0.00175298    1.60448e-06    6.31401e-07    8.08614e-10
        6.23721        27.5443        82.6328      0.0021822    2.66048e-06    1.00659e-06    1.82491e-09
        8.81228        38.3738        115.121     0.00256137    3.94058e-06    1.44485e-06    3.52905e-09
        12.3939        53.4611        160.383     0.00286169    5.25027e-06    1.87952e-06    5.83331e-09
        17.3803        74.4802        223.441     0.00308655    6.43004e-06    2.26147e-06    8.41585e-09
        24.3252        103.763         311.29     0.00325125    7.40974e-06    2.57276e-06    1.09292e-08
        33.9994         144.56        433.679     0.00337083    8.18383e-06    2.81539e-06    1.31486e-08
        47.4763        201.396        604.187     0.00345725     8.7767e-06    2.99939e-06    1.49853e-08
        66.2512        280.578        841.734     0.00351955    9.22166e-06    3.13652e-06    1.64403e-08
        92.4072        390.892        1172.68     0.00356441    9.55113e-06    3.23755e-06    1.75595e-08
        128.847        544.578        1633.73     0.00359667    9.79282e-06    3.31139e-06    1.84028e-08
        179.615        758.688        2276.06     0.00361981     9.9689e-06    3.36505e-06     1.9029e-08
        250.342        1056.98        3170.93     0.00363647    1.00968e-05    3.40394e-06    1.94901e-08
        348.869        1472.55        4417.64     0.00364854    1.01895e-05    3.43208e-06    1.98275e-08
        486.129         2051.5        6154.51     0.00365717    1.02561e-05    3.45233e-06    2.00717e-08
        677.369        2858.09        8574.26     0.00366336    1.03046e-05    3.46714e-06    2.02501e-08
        943.822        3981.79        11945.4     0.00366777    1.03398e-05    3.47788e-06    2.03801e-08
        1315.05         5547.3        16641.9     0.00367065    1.03631e-05    3.48479e-06    2.04662e-08
        1832.21        7728.32          23185     0.00367256    1.03783e-05    3.48915e-06    2.05229e-08
        2552.65        10766.8        32300.5     0.00367432    1.03916e-05    3.49308e-06    2.05728e-08
        3556.33          15000          45000     0.00367604    1.04045e-05    3.49707e-06     2.0621e-08
            HML            HML            HML     0.00367894    1.04273e-05    3.50421e-06    2.07054e-08
