        Vc[fm3]     (pi0)toHML     (pi+)toHML      (K+)toHML     (K0S)toHML     (eta)toHML  (KStar+)toHML     (phi)toHML       (p)toHML       (n)toHML  (Lambda)toHML  (Sigma+)toHML  (Sigma+)toHML  (Sigma0)toHML    (Ksi0)toHML    (Ksi-)toHML   (Omega)toHML
              4       0.942056       0.938539       0.980462        0.98194        0.98417       0.999033              1      0.0843313      0.0843313      0.0843313      0.0843313      0.0843313      0.0843313      0.0843313      0.0843313      0.0843313
        5.44105       0.943957       0.940555       0.981103       0.982533       0.984689       0.999065              1       0.114367       0.114367       0.114367       0.114367       0.114367       0.114367       0.114367       0.114367       0.114367
        7.40126        0.94651       0.943263       0.981964       0.983328       0.985386       0.999108              1       0.154708       0.154708       0.154708       0.154708       0.154708       0.154708       0.154708       0.154708       0.154708
        10.0677       0.949902       0.946862       0.983108       0.984386       0.986313       0.999164              1       0.208323       0.208323       0.208323       0.208323       0.208323       0.208323       0.208323       0.208323       0.208323
        13.6947       0.954326       0.951554         0.9846       0.985765       0.987522       0.999238              1       0.278235       0.278235       0.278235       0.278235       0.278235       0.278235       0.278235       0.278235       0.278235
        18.6283       0.959905       0.957471       0.986481       0.987503       0.989046       0.999331              1       0.366393       0.366393       0.366393       0.366393       0.366393       0.366393       0.366393       0.366393       0.366393
        25.3394       0.966551       0.964521       0.988722       0.989575       0.990862       0.999442              1       0.471414       0.471414       0.471414       0.471414       0.471414       0.471414       0.471414       0.471414       0.471414
        34.4683       0.973784       0.972193       0.991161       0.991829       0.992838       0.999563              1       0.585725       0.585725       0.585725       0.585725       0.585725       0.585725       0.585725       0.585725       0.585725
        46.8859       0.980708       0.979537       0.993495       0.993987       0.994729       0.999678              1       0.695137       0.695137       0.695137       0.695137       0.695137       0.695137       0.695137       0.695137       0.695137
        63.7772       0.986395       0.985568       0.995412        0.99576       0.996283       0.999773              1       0.784998       0.784998       0.784998       0.784998       0.784998       0.784998       0.784998       0.784998       0.784998
        86.7537        0.99048       0.989902        0.99679       0.997033       0.997399       0.999841              1       0.849566       0.849566       0.849566       0.849566       0.849566       0.849566       0.849566       0.849566       0.849566
        118.008       0.993244       0.992833       0.997722       0.997894       0.998154       0.999887              1       0.893236       0.893236       0.893236       0.893236       0.893236       0.893236       0.893236       0.893236       0.893236
        160.522       0.995136       0.994841        0.99836       0.998484       0.998671       0.999919              1       0.923141       0.923141       0.923141       0.923141       0.923141       0.923141       0.923141       0.923141       0.923141
        218.352       0.996471       0.996256        0.99881         0.9989       0.999036       0.999941              1       0.944229       0.944229       0.944229       0.944229       0.944229       0.944229       0.944229       0.944229       0.944229
        297.016       0.997428       0.997271       0.999133       0.999198       0.999297       0.999957              1       0.959355       0.959355       0.959355       0.959355       0.959355       0.959355       0.959355       0.959355       0.959355
        404.019        0.99812       0.998006       0.999366       0.999414       0.999487       0.999969              1       0.970299       0.970299       0.970299       0.970299       0.970299       0.970299       0.970299       0.970299       0.970299
        549.572       0.998624        0.99854       0.999536       0.999571       0.999624       0.999977              1       0.978258       0.978258       0.978258       0.978258       0.978258       0.978258       0.978258       0.978258       0.978258
        747.563       0.998992        0.99893        0.99966       0.999686       0.999725       0.999983              1       0.984065       0.984065       0.984065       0.984065       0.984065       0.984065       0.984065       0.984065       0.984065
        1016.88        0.99926       0.999215       0.999751       0.999769       0.999798       0.999988              1       0.988311       0.988311       0.988311       0.988311       0.988311       0.988311       0.988311       0.988311       0.988311
        1383.23       0.999457       0.999424       0.999817       0.999831       0.999852       0.999991              1       0.991421       0.991421       0.991421       0.991421       0.991421       0.991421       0.991421       0.991421       0.991421
        1881.55       0.999601       0.999577       0.999866       0.999876       0.999891       0.999993              1         0.9937         0.9937         0.9937         0.9937         0.9937         0.9937         0.9937         0.9937         0.9937
         2559.4       0.999707       0.999689       0.999901       0.999909        0.99992       0.999995              1       0.995373       0.995373       0.995373       0.995373       0.995373       0.995373       0.995373       0.995373       0.995373
        3481.46       0.999785       0.999771       0.999927       0.999933       0.999941       0.999996              1         0.9966         0.9966         0.9966         0.9966         0.9966         0.9966         0.9966         0.9966         0.9966
         4735.7       0.999842       0.999831       0.999947       0.999951       0.999957       0.999997              1       0.997497       0.997497       0.997497       0.997497       0.997497       0.997497       0.997497       0.997497       0.997497
         6441.8       0.999884       0.999876       0.999961       0.999964       0.999968       0.999998              1       0.998164       0.998164       0.998164       0.998164       0.998164       0.998164       0.998164       0.998164       0.998164
        8762.54       0.999916        0.99991       0.999972       0.999974       0.999977       0.999999              1       0.998668       0.998668       0.998668       0.998668       0.998668       0.998668       0.998668       0.998668       0.998668
        11919.4       0.999938       0.999934       0.999979       0.999981       0.999983       0.999999              1       0.999027       0.999027       0.999027       0.999027       0.999027       0.999027       0.999027       0.999027       0.999027
        16213.5       0.999953       0.999949       0.999984       0.999985       0.999987       0.999999              1       0.999256       0.999256       0.999256       0.999256       0.999256       0.999256       0.999256       0.999256       0.999256
        22054.6       0.999963        0.99996       0.999987       0.999988        0.99999       0.999999              1       0.999413       0.999413       0.999413       0.999413       0.999413       0.999413       0.999413       0.999413       0.999413
          30000       0.999972        0.99997       0.999991       0.999991       0.999992              1              1       0.999558       0.999558       0.999558       0.999558       0.999558       0.999558       0.999558       0.999558       0.999558
            HML              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1
