        Vc[fm3]     (pi0)toHML     (pi+)toHML      (K+)toHML     (K0S)toHML     (eta)toHML  (KStar+)toHML     (phi)toHML       (p)toHML       (n)toHML  (Lambda)toHML  (Sigma+)toHML  (Sigma+)toHML  (Sigma0)toHML    (Ksi0)toHML    (Ksi-)toHML   (Omega)toHML
              4       0.864517       0.851522       0.230946       0.216729       0.977855       0.172572       0.999001      0.0551034      0.0550973      0.0341331      0.0343286      0.0347642      0.0343614      0.0108214      0.0108046     0.00174821
        5.44105        0.87068       0.858363       0.279372       0.266179       0.978588       0.226088       0.999066      0.0769206       0.076913      0.0505143      0.0508327      0.0514527      0.0508794      0.0173682       0.017342     0.00326007
        7.40126       0.878953       0.867539       0.343131        0.33128       0.979598       0.296438       0.999151       0.108044       0.108035      0.0758949      0.0764114      0.0772943       0.076478      0.0287599       0.028718     0.00633809
        10.0677        0.88982       0.879576       0.424471       0.414319       0.980975        0.38598       0.999259       0.152541       0.152531        0.11529       0.116112       0.117358       0.116206      0.0488996      0.0488319      0.0127615
        13.6947       0.903522       0.894722       0.522555       0.514426       0.982806       0.493582       0.999389       0.215525       0.215514       0.175324        0.17658        0.17829       0.176709      0.0842763       0.084167      0.0262185
        18.6283        0.91964       0.912489       0.630245        0.62429       0.985119       0.611096       0.999531        0.30171         0.3017       0.262295       0.264083        0.26631       0.264251       0.143833       0.143662      0.0535478
        25.3394       0.936762       0.931287       0.733173       0.729218       0.987813       0.722466       0.999665       0.411626       0.411617       0.377108       0.379395       0.382061       0.379596       0.235378        0.23513       0.104772
        34.4683       0.952839        0.94885       0.816283       0.813835       0.990618       0.811192       0.999772       0.536756        0.53675       0.509468       0.512036       0.514895       0.512251       0.357498       0.357177       0.188669
        46.8859       0.966234       0.963411       0.874309       0.872797       0.993179       0.871987       0.999846        0.65927       0.659266       0.638971        0.64149       0.644221       0.641696       0.493855       0.493492       0.303564
        63.7772       0.976331       0.974351       0.912426       0.911444       0.995219       0.911182       0.999893       0.760688       0.760686       0.745937       0.748146       0.750508       0.748324       0.620468        0.62011       0.432901
        86.7537       0.983387       0.981991       0.937827       0.937157       0.996665       0.937026       0.999924        0.83341       0.833408       0.822804         0.8246       0.826504       0.824744       0.721625       0.721308       0.555367
        118.008       0.988173       0.987175       0.955298       0.954828       0.997638       0.954751       0.999945       0.882212        0.88221       0.874616       0.876014       0.877488       0.876125       0.796272       0.796009       0.658821
        160.522       0.991474       0.990753       0.967612       0.967277       0.998302       0.967233        0.99996       0.915388       0.915387       0.909934       0.910998       0.912116       0.911082       0.850531       0.850322       0.741486
        218.352        0.99381       0.993286       0.976424       0.976185       0.998769       0.976161       0.999971       0.938681       0.938681       0.934747       0.935547       0.936385        0.93561         0.8902       0.890039       0.805801
        297.016       0.995488       0.995105       0.982789       0.982615       0.999104       0.982602       0.999979       0.955349       0.955349       0.952499       0.953095        0.95372       0.953142       0.919308       0.919185       0.855005
        404.019       0.996702       0.996423        0.98741       0.987284       0.999345       0.987277       0.999985       0.967391        0.96739       0.965318       0.965761       0.966224       0.965796        0.94069       0.940598       0.892209
        549.572       0.997586       0.997381       0.990777       0.990685       0.999521       0.990682       0.999989       0.976139       0.976138       0.974627       0.974955       0.975298       0.974981       0.956403       0.956334       0.920114
        747.563       0.998231        0.99808       0.993237        0.99317       0.999649       0.993168       0.999992       0.982517       0.982516       0.981412       0.981655       0.981908       0.981674       0.967952         0.9679       0.940925
        1016.88       0.998702       0.998592       0.995038       0.994989       0.999743       0.994988       0.999994       0.987178       0.987178        0.98637       0.986548       0.986735       0.986563       0.976442       0.976403       0.956386
        1383.23       0.999047       0.998966       0.996357       0.996321       0.999811       0.996321       0.999996        0.99059        0.99059       0.989998        0.99013       0.990267        0.99014       0.982682       0.982654       0.967837
        1881.55         0.9993        0.99924       0.997321       0.997295       0.999861       0.997295       0.999997        0.99309        0.99309       0.992655       0.992753       0.992854        0.99276       0.987261        0.98724       0.976279
         2559.4       0.999486       0.999442       0.998031       0.998012       0.999898       0.998012       0.999998       0.994925       0.994925       0.994606       0.994677       0.994752       0.994683       0.990632       0.990616       0.982525
        3481.46       0.999624       0.999591       0.998567       0.998553       0.999925       0.998553       0.999998       0.996275       0.996275       0.996043       0.996095       0.996149       0.996099       0.993147       0.993136       0.987229
         4735.7       0.999725       0.999701       0.998959       0.998949       0.999945        0.99895       0.999999       0.997262       0.997262       0.997095       0.997133       0.997172       0.997136       0.994992       0.994984       0.990687
         6441.8       0.999796       0.999778       0.999218        0.99921       0.999959        0.99921       0.999999       0.997983       0.997983       0.997857       0.997886       0.997915       0.997888       0.996274       0.996267       0.993028
        8762.54       0.999846       0.999832       0.999387       0.999381        0.99997       0.999379       0.999999       0.998522       0.998522       0.998418       0.998441       0.998464       0.998442       0.997168       0.997163       0.994609
        11919.4       0.999885       0.999875        0.99953       0.999525       0.999978       0.999523       0.999999       0.998923       0.998923       0.998837       0.998855       0.998873       0.998856       0.997871       0.997867       0.995896
        16213.5       0.999917       0.999909       0.999672       0.999668       0.999984       0.999667              1       0.999194       0.999194        0.99914       0.999152       0.999164       0.999153       0.998471       0.998468       0.997101
        22054.6       0.999941       0.999936       0.999799       0.999797       0.999988       0.999799              1       0.999376       0.999376       0.999354       0.999361       0.999368       0.999361       0.998959       0.998958       0.998141
          30000        0.99996       0.999956       0.999888       0.999887       0.999991        0.99989              1       0.999531       0.999531       0.999525       0.999528       0.999532       0.999529       0.999315       0.999314       0.998873
            HML              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1
