        Vc[fm3]     (pi0)toHML     (pi+)toHML      (K+)toHML     (K0S)toHML     (eta)toHML  (KStar+)toHML     (phi)toHML       (p)toHML       (n)toHML  (Lambda)toHML  (Sigma+)toHML  (Sigma+)toHML  (Sigma0)toHML    (Ksi0)toHML    (Ksi-)toHML   (Omega)toHML
              4       0.669018       0.413237       0.174951       0.159071       0.800863       0.114276       0.998931      0.0255632      0.0255083      0.0185856      0.0146149      0.0146922      0.0199692     0.00612922     0.00609696      0.0012018
        5.44105       0.693543       0.460986        0.21286       0.197692       0.820042       0.155878       0.998981      0.0390011      0.0389204       0.029387      0.0238934      0.0240451      0.0313466      0.0103736      0.0103295     0.00223834
        7.40126       0.725643       0.522914       0.268397       0.254326        0.84445       0.216808       0.999054      0.0609029      0.0607837       0.047929      0.0403768      0.0406691      0.0507111      0.0184258      0.0183653     0.00446722
        10.0677       0.765402       0.598534        0.34741       0.334967        0.87343       0.303433       0.999159      0.0967187       0.096544       0.080016      0.0698259      0.0703689      0.0839364      0.0341061       0.034022     0.00947831
        13.6947       0.810234        0.68192       0.452064       0.441836       0.904067       0.417975       0.999297       0.153731       0.153483       0.134081       0.120856       0.121801       0.139457      0.0643714      0.0642535       0.020856
        18.6283       0.854551       0.761573       0.574134       0.566504       0.931561       0.551102       0.999458       0.238587        0.23826       0.218643       0.202553       0.204035       0.225611       0.119411       0.119246      0.0456407
        25.3394       0.892762        0.82712       0.693489       0.688348       0.952385       0.680368       0.999614       0.352271       0.351879       0.335751       0.317799       0.319818       0.344031        0.20868       0.208455       0.094532
        34.4683       0.922801        0.87622       0.789856        0.78662       0.966759        0.78346       0.999739       0.485488       0.485069       0.474597       0.456415       0.458758       0.483427       0.332035       0.331753       0.177424
        46.8859       0.945361       0.911922       0.856755       0.854722        0.97669       0.853737       0.999823       0.618742       0.618342       0.612856       0.596101       0.598438       0.621273       0.472971       0.472654       0.293509
        63.7772       0.961651       0.937458       0.900452       0.899117       0.983621       0.898793       0.999878        0.73087       0.730524       0.728109       0.713885       0.715948       0.735388       0.605405        0.60509       0.425658
        86.7537       0.972948       0.955345       0.929438        0.92852       0.988398        0.92836       0.999913       0.812114       0.811835       0.810997       0.799636       0.801313       0.816866       0.711396       0.711114        0.55094
        118.008        0.98067       0.967809       0.949313       0.948667       0.991686       0.948572       0.999938       0.866933       0.866718       0.866609       0.857864       0.859165       0.871152       0.789285        0.78905       0.656312
        160.522        0.98604       0.976619       0.963296       0.962834       0.993988       0.962781       0.999955       0.904308       0.904145       0.904334       0.897728       0.898715       0.907776       0.845641       0.845453        0.74009
        218.352       0.989856       0.982946       0.973293        0.97296       0.995629       0.972932       0.999967       0.930598       0.930477       0.930756       0.925815       0.926556       0.933337       0.886721       0.886575        0.80503
        297.016       0.992602       0.987529       0.980507       0.980266       0.996811       0.980251       0.999976       0.949436       0.949346       0.949626       0.945951       0.946502       0.951547       0.916809       0.916697       0.854582
        404.019       0.994592       0.990866       0.985743       0.985568       0.997668        0.98556       0.999983       0.963058       0.962991       0.963236       0.960513       0.960922       0.964662       0.938883       0.938798       0.891978
        549.572        0.99604       0.993303       0.989558        0.98943       0.998293       0.989426       0.999987       0.972961       0.972911       0.973113       0.971099       0.971402       0.974167        0.95509       0.955027       0.919988
        747.563       0.997098       0.995086       0.992344       0.992251       0.998749       0.992248       0.999991       0.980184       0.980148       0.980307       0.978821       0.979045       0.981086       0.966995       0.966948       0.940857
        1016.88        0.99787        0.99639       0.994382       0.994313       0.999081       0.994312       0.999993       0.985464       0.985437       0.985561       0.984464       0.984629       0.986136       0.975742       0.975707       0.956348
        1383.23       0.998436       0.997347       0.995876       0.995826       0.999325       0.995825       0.999995       0.989331       0.989311       0.989406       0.988597       0.988718        0.98983        0.98217       0.982144       0.967819
        1881.55       0.998856       0.998062       0.996973       0.996936       0.999508       0.996936       0.999996       0.992175        0.99216       0.992227       0.991638       0.991728       0.992537       0.986895       0.986876       0.976283
         2559.4       0.999163       0.998586       0.997777       0.997749       0.999642        0.99775       0.999997        0.99426       0.994249       0.994294       0.993866       0.993934       0.994521       0.990362       0.990349       0.982517
        3481.46        0.99938       0.998947       0.998367       0.998348       0.999732       0.998347       0.999998       0.995773       0.995766       0.995806       0.995484        0.99553       0.995975       0.992925       0.992913       0.987168
         4735.7       0.999534       0.999196       0.998801       0.998792       0.999794       0.998786       0.999999        0.99687       0.996868       0.996912        0.99666       0.996686       0.997041       0.994825        0.99481       0.990648
         6441.8       0.999651        0.99939       0.999112       0.999105       0.999843       0.999101       0.999999       0.997686       0.997684       0.997724       0.997527       0.997547       0.997822       0.996186       0.996176       0.993111
        8762.54       0.999745       0.999561       0.999328       0.999316       0.999888        0.99932       0.999999       0.998306       0.998299       0.998321       0.998179       0.998206       0.998392       0.997129        0.99713        0.99475
        11919.4       0.999822       0.999708       0.999493       0.999479       0.999928       0.999487       0.999999       0.998778       0.998768       0.998768        0.99868        0.99871       0.998816       0.997831       0.997839       0.995962
        16213.5       0.999882       0.999818       0.999643       0.999634       0.999957       0.999639              1       0.999128       0.999122       0.999109       0.999064       0.999084       0.999138       0.998433       0.998437       0.997076
        22054.6       0.999922       0.999883       0.999773       0.999772       0.999972       0.999771              1       0.999374       0.999375       0.999363       0.999341       0.999345       0.999381       0.998943       0.998939       0.998087
          30000       0.999945       0.999915       0.999861       0.999869       0.999979        0.99986              1       0.999541       0.999549       0.999544        0.99953        0.99952       0.999556       0.999311       0.999297       0.998822
            HML              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1
