        Vc[fm3]     (pi0)toHML     (pi+)toHML      (K+)toHML     (K0S)toHML     (eta)toHML  (KStar+)toHML     (phi)toHML       (p)toHML       (n)toHML  (Lambda)toHML  (Sigma+)toHML  (Sigma+)toHML  (Sigma0)toHML    (Ksi0)toHML    (Ksi-)toHML   (Omega)toHML
              4       0.784591       0.556388       0.537354       0.849141       0.839163       0.436047       0.999608       0.403219       0.768204       0.796371       0.500183       0.488459       0.890289       0.820341       0.519422       0.336416
        5.44105       0.817235       0.619784       0.607746       0.872283         0.8638       0.522542       0.999668       0.477707       0.803156       0.827631       0.576911       0.566987       0.907131       0.847921       0.593197       0.438285
        7.40126       0.854305       0.692412       0.687625       0.898507       0.891725       0.620562       0.999737       0.565464       0.842881        0.86305        0.66385       0.655965       0.926214       0.879171       0.676789       0.553709
        10.0677       0.891708       0.766638       0.768138       0.924887       0.919825       0.719166       0.999805       0.658583       0.883014       0.898672       0.751286       0.745452       0.945407         0.9106       0.760859       0.669794
        13.6947       0.924035       0.832024       0.837624       0.947587       0.944019       0.804022       0.999864       0.744781       0.917765       0.929317       0.826506       0.822436       0.961918       0.937638       0.833184        0.76966
        18.6283       0.947896       0.881625       0.888808       0.964239        0.96178       0.866274       0.999907       0.814267       0.943479       0.951789       0.881664       0.878888       0.974025       0.957464       0.886219        0.84289
        25.3394       0.963833       0.915917       0.922911       0.975278       0.973564       0.907547       0.999936       0.865357       0.960704       0.966679       0.918213       0.916294       0.982048       0.970602       0.921361       0.891415
        34.4683       0.974378       0.939396        0.94543       0.982533       0.981316       0.934676       0.999955        0.90196       0.972132       0.976462       0.942224       0.940869       0.987318       0.979232       0.944448       0.923293
        46.8859       0.981604       0.955929        0.96084       0.987481       0.986606       0.953181       0.999967       0.928372       0.979979       0.983132       0.958597       0.957626       0.990912       0.985118        0.96019       0.945031
        63.7772       0.986693       0.967812       0.971683       0.990955       0.990322       0.966174       0.999976       0.947576       0.985511       0.987814       0.970089       0.969387       0.993434       0.989248        0.97124       0.960288
        86.7537       0.990329       0.976435       0.979425       0.993432       0.992972       0.975437       0.999983       0.961588       0.989467       0.991152       0.978281       0.977772       0.995233       0.992193       0.979117       0.971165
        118.008       0.992949       0.982723       0.985001       0.995214       0.994878       0.982102       0.999988       0.971832       0.992318       0.993553       0.984175       0.983804       0.996526       0.994312       0.984784        0.97899
        160.522       0.994847       0.987322       0.989041       0.996504       0.996259       0.986927       0.999991       0.979331       0.994386       0.995291       0.988441        0.98817       0.997463       0.995845       0.988886       0.984654
        218.352       0.996229       0.990691       0.991979       0.997442       0.997262       0.990434       0.999993       0.984827        0.99589       0.996554       0.991543       0.991344       0.998144        0.99696       0.991868       0.988772
        297.016       0.997236       0.993162       0.994123       0.998126       0.997994       0.992992       0.999995       0.988857       0.996988       0.997476       0.993804       0.993659        0.99864       0.997773       0.994043       0.991774
        404.019       0.997973       0.994976        0.99569       0.998626       0.998529       0.994861       0.999996       0.991815       0.997791       0.998149       0.995457        0.99535       0.999003       0.998367       0.995632       0.993968
        549.572       0.998513       0.996309       0.996837       0.998992       0.998921       0.996229       0.999997       0.993987       0.998379       0.998642       0.996667       0.996588       0.999268       0.998802       0.996795       0.995574
        747.563       0.998908       0.997286       0.997677        0.99926       0.999207       0.997231       0.999998        0.99558       0.998809       0.999003       0.997552       0.997494       0.999463        0.99912       0.997646        0.99675
        1016.88       0.999196       0.998002       0.998291       0.999455       0.999417       0.997963       0.999999       0.996746       0.999124       0.999266       0.998199       0.998157       0.999605       0.999353       0.998268       0.997609
        1383.23       0.999411       0.998535       0.998748       0.999601       0.999573       0.998508       0.999999       0.997615       0.999358       0.999463       0.998681        0.99865        0.99971       0.999526       0.998732       0.998249
        1881.55       0.999573       0.998938       0.999093       0.999711       0.999691       0.998919       0.999999       0.998272       0.999535       0.999611       0.999044       0.999022        0.99979       0.999657       0.999081       0.998731
         2559.4       0.999687        0.99922       0.999334       0.999788       0.999773       0.999207       0.999999       0.998731       0.999659       0.999714       0.999299       0.999282       0.999846       0.999748       0.999326       0.999069
        3481.46       0.999759       0.999399       0.999487       0.999837       0.999825       0.999389              1       0.999022       0.999737        0.99978       0.999459       0.999447       0.999881       0.999806        0.99948       0.999282
         4735.7        0.99981       0.999527       0.999596       0.999871       0.999862       0.999519              1        0.99923       0.999793       0.999827       0.999575       0.999565       0.999907       0.999847       0.999591       0.999435
         6441.8       0.999859       0.999649       0.999701       0.999905       0.999898       0.999643              1       0.999429       0.999847       0.999871       0.999685       0.999677       0.999931       0.999887       0.999697       0.999581
        8762.54       0.999908       0.999772       0.999805       0.999938       0.999934       0.999768              1       0.999629         0.9999       0.999916       0.999795        0.99979       0.999955       0.999926       0.999803       0.999728
        11919.4       0.999948       0.999871       0.999891       0.999965       0.999963        0.99987              1       0.999791       0.999944       0.999953       0.999885       0.999882       0.999975       0.999959       0.999889       0.999847
        16213.5       0.999971       0.999929        0.99994       0.999981       0.999979       0.999928              1       0.999885       0.999969       0.999974       0.999936       0.999935       0.999986       0.999977       0.999939       0.999915
        22054.6        0.99998        0.99995       0.999958       0.999987       0.999986        0.99995              1        0.99992       0.999978       0.999982       0.999956       0.999955        0.99999       0.999984       0.999957       0.999941
          30000       0.999982       0.999955       0.999962       0.999988       0.999987       0.999955              1       0.999927       0.999981       0.999984        0.99996       0.999959       0.999991       0.999986       0.999961       0.999947
            HML              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1
