        Vc[fm3]     (pi0)toHML     (pi+)toHML      (K+)toHML     (K0S)toHML     (eta)toHML  (KStar+)toHML     (phi)toHML       (p)toHML       (n)toHML  (Lambda)toHML  (Sigma+)toHML  (Sigma+)toHML  (Sigma0)toHML    (Ksi0)toHML    (Ksi-)toHML   (Omega)toHML
              4       0.913058       0.902891        0.25562       0.241947       0.991187       0.196749        0.99903       0.962605       0.962369       0.181964       0.175741       0.178572       0.175954       0.023028       0.022993     0.00261726
        5.44105       0.919499        0.91008       0.311291       0.298777       0.991855       0.257591       0.999104        0.96544       0.965221       0.241287       0.236564       0.240232       0.236841      0.0387296      0.0386706     0.00519872
        7.40126       0.927834       0.919383       0.383268       0.372239       0.992717       0.336172       0.999199       0.969101       0.968906       0.318192       0.315296       0.319929       0.315645      0.0653362      0.0652378      0.0106137
        10.0677       0.938169        0.93092       0.472421       0.463208       0.993784       0.433364       0.999316       0.973629       0.973462       0.413803       0.412973       0.418605       0.413397       0.109096       0.108936      0.0218796
        13.6947       0.950096       0.944236       0.575142       0.567982       0.995011       0.545117       0.999451       0.978834         0.9787       0.524535       0.525771       0.532234       0.526258       0.176969       0.176723      0.0444197
        18.6283        0.96241       0.957987       0.680964       0.675858       0.996271       0.659902       0.999589       0.984179       0.984079       0.639444       0.642344       0.649195        0.64286       0.272559        0.27221      0.0860888
        25.3394       0.973356       0.970212       0.774722       0.771361       0.997382       0.761165       0.999711       0.988894       0.988823       0.742322       0.746104       0.752696         0.7466       0.390131       0.389686       0.154291
        34.4683       0.981646       0.979474       0.845409       0.843279       0.998214       0.837041       0.999803       0.992425       0.992377       0.821012        0.82483       0.830591       0.825264       0.513659       0.513159       0.250029
        46.8859       0.987258       0.985747       0.893007       0.891634        0.99877       0.887739       0.999864       0.994783        0.99475       0.874934       0.878251       0.882922       0.878603       0.625885       0.625388       0.364341
        63.7772       0.990975       0.989903       0.924369       0.923449       0.999134       0.920896       0.999904       0.996325       0.996301       0.911043       0.913704       0.917325       0.913976       0.717964       0.717516       0.482373
        86.7537       0.993517       0.992746        0.94574       0.945104        0.99938       0.943365       0.999932       0.997369       0.997352       0.935926       0.937981       0.940727       0.938188        0.78952       0.789141       0.591201
        118.008       0.995307       0.994748       0.960751       0.960303       0.999552       0.959091       0.999951         0.9981       0.998088       0.953529       0.955087       0.957146       0.955242       0.843764       0.843459       0.684018
        160.522       0.996586        0.99618       0.971468       0.971148       0.999675       0.970291       0.999964        0.99862       0.998611       0.966155       0.967324       0.968858        0.96744       0.884397       0.884158       0.759336
        218.352       0.997509       0.997212        0.97919       0.978961       0.999763       0.978348       0.999974       0.998994       0.998988       0.975284       0.976155       0.977293       0.976241       0.914634       0.914451       0.818555
        297.016       0.998179       0.997961       0.984788       0.984622       0.999827       0.984181       0.999981       0.999265       0.999261       0.981916       0.982563       0.983404       0.982626       0.937046       0.936907       0.864172
        404.019       0.998666       0.998507       0.988863       0.988742       0.999873       0.988422       0.999986       0.999462       0.999459       0.986751        0.98723       0.987851       0.987277       0.953616       0.953512       0.898829
        549.572       0.999022       0.998905       0.991837       0.991749       0.999907       0.991516        0.99999       0.999606       0.999603       0.990284       0.990638       0.991096       0.990672       0.965846       0.965768       0.924914
        747.563       0.999283       0.999197       0.994012       0.993948       0.999932       0.993778       0.999992       0.999711       0.999709        0.99287       0.993131       0.993469       0.993157       0.974863       0.974805       0.944417
        1016.88       0.999473        0.99941       0.995605       0.995558        0.99995       0.995434       0.999994       0.999788       0.999787       0.994766       0.994958       0.995207       0.994977       0.981507       0.981464       0.958935
        1383.23       0.999613       0.999567       0.996772       0.996738       0.999963       0.996647       0.999996       0.999844       0.999843       0.996155       0.996297        0.99648       0.996311       0.986394       0.986362       0.969693
        1881.55       0.999715       0.999681       0.997625         0.9976       0.999973       0.997533       0.999997       0.999885       0.999885       0.997171       0.997275        0.99741       0.997285       0.989976       0.989952       0.977621
         2559.4       0.999791       0.999766       0.998258       0.998239        0.99998        0.99819       0.999998       0.999916       0.999915       0.997924       0.998001         0.9981       0.998008       0.992639       0.992622       0.983541
        3481.46       0.999849        0.99983       0.998736       0.998723       0.999986       0.998688       0.999998       0.999939       0.999939       0.998494        0.99855       0.998622       0.998555       0.994658       0.994645        0.98804
         4735.7       0.999889       0.999876       0.999077       0.999067        0.99999       0.999041       0.999999       0.999955       0.999955         0.9989       0.998941       0.998994       0.998945       0.996096       0.996086        0.99125
         6441.8       0.999915       0.999905       0.999295       0.999287       0.999992       0.999267       0.999999       0.999966       0.999966       0.999159        0.99919       0.999231       0.999194       0.997014       0.997007       0.993304
        8762.54       0.999933       0.999925       0.999444       0.999438       0.999994       0.999422       0.999999       0.999973       0.999973       0.999337       0.999362       0.999393       0.999364       0.997646        0.99764       0.994717
        11919.4        0.99995       0.999943       0.999581       0.999577       0.999995       0.999565       0.999999        0.99998        0.99998       0.999501       0.999519       0.999543       0.999521       0.998227       0.998223       0.996022
        16213.5       0.999966       0.999962       0.999721       0.999718       0.999997        0.99971              1       0.999987       0.999986       0.999668        0.99968       0.999696       0.999681       0.998819       0.998816        0.99735
        22054.6       0.999981       0.999978        0.99984       0.999838       0.999998       0.999834              1       0.999992       0.999992       0.999809       0.999816       0.999826       0.999817       0.999323       0.999321        0.99848
          30000       0.999989       0.999988       0.999913       0.999912       0.999999        0.99991              1       0.999996       0.999996       0.999896         0.9999       0.999905         0.9999       0.999631        0.99963       0.999172
            HML              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1              1
