      dNpipm/dy        Vc[fm3]    (K/pi)toHML   (Xi/pi)toHML  (phi/pi)toHML    (p/pi)toHML   (Om/pi)toHML   (La/pi)toHML   (K*/pi)toHML
      0.0768496              1       0.343883     0.00291111        3.19697      0.0155662    0.000459082      0.0104024       0.128673
       0.111546        1.39317       0.354193     0.00418306        3.06855      0.0216265    0.000680352      0.0146233       0.149968
       0.164161        1.94091       0.368626     0.00608585        2.90487      0.0300473     0.00103266      0.0206458       0.178534
       0.245806        2.70402       0.388846     0.00900754        2.70283      0.0417816     0.00161876      0.0293372       0.216438
       0.375664        3.76715       0.417156      0.0136452        2.46393      0.0582317     0.00264668      0.0420808       0.266096
       0.586957        5.24826       0.456628      0.0213026        2.19708      0.0815298     0.00456028      0.0611505       0.330182
       0.935537        7.31171       0.510947      0.0344805        1.92056       0.114988     0.00834556      0.0903244       0.411288
        1.50742        10.1864       0.583316      0.0579277        1.66076       0.163646      0.0162279       0.135655       0.510782
        2.41408        14.1914       0.673247      0.0999754        1.44497       0.234305      0.0330599       0.205593       0.625772
        3.77159         19.771       0.771288       0.172319        1.28874       0.333259      0.0681468       0.308031       0.744283
        5.70443        27.5443       0.858074       0.283745        1.18727       0.459791       0.134683       0.441869       0.845085
        8.40065        38.3738       0.917278       0.427186        1.12333        0.59904       0.241242       0.588973       0.911784
        12.1492        53.4611        0.94998       0.575379         1.0822       0.725289       0.378097       0.720606       0.947513
        17.3543        74.4802       0.967482       0.699146        1.05554       0.818825        0.51815       0.816934       0.966092
        24.5817        103.763       0.977922       0.788586        1.03821       0.879037       0.638502       0.878432       0.977024
         34.631         144.56       0.984716       0.850392         1.0267       0.916966       0.732951       0.916904       0.984117
        48.6199        201.396       0.989301       0.893534        1.01884       0.941976       0.804501       0.942115       0.988897
        68.1021        280.578       0.992455       0.924013        1.01336        0.95907       0.857753       0.959261       0.992178
        95.2399        390.892       0.994651       0.945671        1.00952       0.970965       0.896928       0.971148       0.994459
        133.045        544.578       0.996194        0.96111        1.00679       0.979329       0.925525       0.979483        0.99606
        185.711        758.688       0.997286        0.97214        1.00486       0.985248       0.946292       0.985369       0.997191
        259.083        1056.98       0.998063       0.980033        1.00348       0.989455       0.961326        0.98955       0.997996
        361.301        1472.55       0.998614       0.985683        1.00249       0.992453       0.972177       0.992524       0.998566
        503.715         2051.5       0.998996       0.989717        1.00177       0.994591       0.979967       0.994637       0.998962
        702.115        2858.09       0.999276       0.992616        1.00127       0.996123       0.985588       0.996154       0.999252
        978.489        3981.79       0.999507       0.994742        1.00093       0.997226       0.989743       0.997263       0.999489
        1363.52         5547.3       0.999675        0.99627         1.0007       0.998017       0.992729       0.998059       0.999662
        1899.98        7728.32       0.999755       0.997285        1.00051       0.998578       0.994662       0.998604       0.999746
        2647.43        10766.8       0.999779       0.997958        1.00034       0.998973       0.995918        0.99897       0.999772
         3688.8          15000       0.999812       0.998499         1.0002       0.999255       0.997003       0.999236       0.999807
            HML            HML       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184       0.053049
