      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta           K/pi          Xi/pi         phi/pi           p/pi          Om/pi          La/pi          K*/pi  omega(782)/pi
       0.117839              6       0.128678       0.107232      0.0855983    0.000134384      0.0484836     0.00518106    4.98489e-06     0.00228708      0.0191375        0.19498
       0.188941          8.359       0.208936       0.174113      0.0966135    0.000220884      0.0421307     0.00733355    9.35435e-06     0.00340191      0.0238328       0.173267
       0.304414        11.6455       0.342288        0.28524       0.110965    0.000375949       0.036435      0.0104706    1.85861e-05     0.00513596      0.0294824       0.153661
       0.483579        16.2241       0.555025        0.46252       0.128029    0.000651421      0.0319589      0.0149846    3.82521e-05      0.0077733      0.0357686       0.138057
       0.745693        22.6029        0.87524       0.729366       0.145291     0.00110873      0.0288787       0.021123    7.80773e-05      0.0114913      0.0418225       0.127093
        1.11452        31.4896         1.3355        1.11292        0.15908     0.00176865      0.0269226      0.0285599    0.000149204      0.0160485      0.0464923       0.119934
        1.62791        43.8703        1.98266        1.65222       0.167596     0.00254799      0.0256816      0.0361576    0.000253836      0.0206682       0.049292       0.115277
        2.34128        61.1186        2.88411        2.40342       0.172124     0.00328383      0.0248788      0.0424934     0.00037614      0.0244673      0.0507346       0.112216
        3.33162        85.1484        4.13442        3.44535       0.174639      0.0038569      0.0243584      0.0468748    0.000491691       0.027067      0.0515172       0.110218
        4.70739        118.626        5.86896         4.8908       0.176205     0.00425913      0.0240181      0.0496314    0.000586496      0.0286905      0.0520007        0.10891
        6.62136        165.266        8.28023        6.90019       0.177243     0.00453751      0.0237893      0.0513962    0.000659554       0.029723      0.0523206        0.10803
        9.28633        230.243        11.6366         9.6972        0.17795     0.00473295      0.0236316      0.0525801    0.000714449      0.0304116      0.0525381       0.107424
        12.9982        320.767         16.311        13.5925       0.178439     0.00487142      0.0235214      0.0533964    0.000755092      0.0308843      0.0526882       0.106999
        18.1688        446.881         22.822        19.0184       0.178781     0.00496996      0.0234436      0.0539672    0.000784885      0.0312137       0.052793       0.106699
         25.372         622.58        31.8923        26.5769       0.179022     0.00504027      0.0233884      0.0543697    0.000806583      0.0314455      0.0528667       0.106487
        35.4069        867.358        44.5282        37.1068       0.179193     0.00509054      0.0233492      0.0546551    0.000822317      0.0316096      0.0529189       0.106335
        49.3869        1208.37        62.1316        51.7763       0.179314     0.00512653      0.0233213      0.0548582    0.000833695      0.0317262      0.0529562       0.106228
         68.864        1683.47        86.6565        72.2138         0.1794     0.00515226      0.0233011       0.055003    0.000841891      0.0318092      0.0529823        0.10615
        95.9994        2345.35        120.825        100.687       0.179459     0.00517065      0.0232865      0.0551064    0.000847771      0.0318682      0.0530006       0.106093
        133.801        3267.47        168.423        140.352       0.179506     0.00518397      0.0232765      0.0551806    0.000852054       0.031911      0.0530147       0.106055
         186.46        4552.13        234.731        195.609       0.179543     0.00519374      0.0232699      0.0552341    0.000855221      0.0319422      0.0530261       0.106029
        259.825        6341.87        327.111        272.593       0.179567     0.00520057      0.0232649      0.0552723    0.000857411      0.0319642      0.0530334        0.10601
        362.046        8835.28        455.823        379.852       0.179576     0.00520501      0.0232606      0.0552992    0.000858788       0.031979      0.0530362       0.105994
        504.469          12309        635.154        529.295        0.17958     0.00520813       0.023257      0.0553183    0.000859771      0.0319892      0.0530374        0.10598
        702.889        17148.5        884.996        737.496       0.179588     0.00521084      0.0232544       0.055332    0.000860704      0.0319969      0.0530401        0.10597
          979.3        23890.8        1233.05        1027.54       0.179601     0.00521319       0.023253      0.0553422    0.000861547      0.0320032      0.0530439       0.105964
        1364.37        33283.8        1717.92         1431.6       0.179611     0.00521481      0.0232524      0.0553496    0.000862114      0.0320079      0.0530468       0.105962
        1900.81        46369.9         2393.4         1994.5       0.179615     0.00521573      0.0232521       0.055355    0.000862399      0.0320112      0.0530481       0.105961
        2648.16          64601        3334.45        2778.71       0.179617     0.00521625       0.023252      0.0553588     0.00086253      0.0320134      0.0530485        0.10596
        3689.35          90000        4645.49        3871.24       0.179618      0.0052166      0.0232519      0.0553617    0.000862611       0.032015      0.0530489        0.10596
            HML            HML            HML            HML       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184       0.053049       0.105955
