      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta           K/pi          Xi/pi         phi/pi           p/pi          Om/pi          La/pi          K*/pi
      0.0768496              1      0.0077515     0.00645958      0.0617676     1.5189e-05      0.0743313    0.000861875    3.96148e-07    0.000333069     0.00682599
       0.111546        1.39317      0.0151233      0.0126027      0.0636195    2.18256e-05      0.0713456     0.00119742    5.87085e-07    0.000468215     0.00795567
       0.164161        1.94091      0.0295411      0.0246176      0.0662119    3.17536e-05      0.0675398     0.00166367    8.91101e-07    0.000661047     0.00947104
       0.245806        2.70402      0.0577536       0.048128      0.0698437    4.69978e-05      0.0628423     0.00231337    1.39685e-06    0.000939331      0.0114818
       0.375664        3.76715       0.112861      0.0940505      0.0749287    7.11951e-05      0.0572878     0.00322419    2.28386e-06     0.00134736      0.0141161
       0.586957        5.24826       0.219727       0.183106      0.0820186    0.000111149      0.0510834     0.00451416    3.93513e-06     0.00195794      0.0175158
       0.935537        7.31171       0.423164       0.352637      0.0917754    0.000179905      0.0446542     0.00636667     7.2015e-06     0.00289205      0.0218184
        1.50742        10.1864       0.795694       0.663078       0.104774    0.000302244      0.0386136     0.00906077    1.40033e-05     0.00434347      0.0270965
        2.41408        14.1914        1.43389        1.19491       0.120927    0.000521632      0.0335964       0.012973    2.85278e-05     0.00658277      0.0331966
        3.77159         19.771        2.43676        2.03063       0.138537    0.000899094      0.0299639      0.0184519    5.88048e-05     0.00986266      0.0394834
        5.70443        27.5443         3.9013        3.25108       0.154126     0.00148047      0.0276048      0.0254578     0.00011622      0.0141479      0.0448309
        8.40065        38.3738        5.96606        4.97171        0.16476     0.00222889       0.026118      0.0331678    0.000208171       0.018858      0.0483692
        12.1492        53.4611        8.84472         7.3706       0.170634      0.0030021      0.0251618       0.040158    0.000326265      0.0230727      0.0502646
        17.3543        74.4802        12.8382        10.6985       0.173777     0.00364787      0.0245418      0.0453369    0.000447119      0.0261569      0.0512502
        24.5817        103.763        18.3727        15.3106       0.175652     0.00411453      0.0241389      0.0486707    0.000550972       0.028126      0.0518301
         34.631         144.56        26.0582        21.7152       0.176873     0.00443701      0.0238713      0.0507708    0.000632474      0.0293578      0.0522064
        48.6199        201.396        36.7509        30.6258       0.177696     0.00466211      0.0236885      0.0521555    0.000694215      0.0301651        0.05246
        68.1021        280.578        51.6394        43.0328       0.178263     0.00482113      0.0235613       0.053102    0.000740167       0.030714       0.052634
        95.2399        390.892        72.3764        60.3137       0.178657     0.00493414      0.0234718      0.0537606    0.000773972      0.0310946      0.0527551
        133.045        544.578        101.263        84.3861       0.178934     0.00501469      0.0234085      0.0542237    0.000798648      0.0313615        0.05284
        185.711        758.688        141.505        117.921        0.17913     0.00507224      0.0233635      0.0545514    0.000816569        0.03155         0.0529
        259.083        1056.98        197.567        164.639        0.17927     0.00511343      0.0233314      0.0547844    0.000829542      0.0316838      0.0529427
        361.301        1472.55         275.67        229.725       0.179369     0.00514291      0.0233085      0.0549504    0.000838905      0.0317791      0.0529729
        503.715         2051.5        384.486        320.405       0.179438     0.00516395      0.0232918      0.0550688    0.000845627      0.0318467      0.0529939
        702.115        2858.09        536.078        446.732       0.179488     0.00517908        0.02328      0.0551536    0.000850478      0.0318953      0.0530093
        978.489        3981.79        747.244        622.703       0.179529     0.00519017      0.0232723      0.0552146    0.000854063      0.0319308      0.0530219
        1363.52         5547.3        1041.43        867.854        0.17956     0.00519814      0.0232668      0.0552584     0.00085664      0.0319563       0.053031
        1899.98        7728.32        1451.32        1209.43       0.179574     0.00520344      0.0232623      0.0552895    0.000858307      0.0319737      0.0530355
        2647.43        10766.8        2022.44        1685.36       0.179578     0.00520695      0.0232584      0.0553114    0.000859392      0.0319855      0.0530369
         3688.8          15000        2818.15        2348.46       0.179584     0.00520977      0.0232553       0.055327    0.000860327       0.031994      0.0530387
            HML            HML            HML            HML       0.179618     0.00521761      0.0232506      0.0553682    0.000862914      0.0320184       0.053049
