      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta            d/p          He3/p         H3La/p          He4/p    H3La/Lambda             S3
      0.0817669            1.6      0.0871815      0.0726512    5.82276e-05    1.30284e-09    5.65311e-10    2.38356e-14    1.43696e-09        1.10295
       0.121156        2.22907       0.129618       0.108015    7.36454e-05    2.13968e-09    9.90602e-10     4.7289e-14    2.47257e-09        1.15558
       0.182906        3.10546       0.196614       0.163845    9.58033e-05    3.72154e-09    1.80045e-09    1.02617e-13    4.38548e-09         1.1784
       0.282113        4.32643       0.305278       0.254399    0.000127921    6.81281e-09    3.38068e-09     2.4247e-13    7.97412e-09        1.17046
       0.444732        6.02744       0.485714       0.404761    0.000174892    1.30486e-08    6.53234e-09    6.18637e-13    1.47895e-08        1.13342
         0.7132        8.39722       0.788838       0.657365    0.000244101    2.59878e-08    1.29288e-08     1.6859e-12     2.7852e-08        1.07173
        1.14902        11.6987        1.29232        1.07693     0.00034632    5.33994e-08    2.60322e-08    4.84128e-12    5.30341e-08       0.993159
        1.82469        16.2983        2.09495        1.74579    0.000496095    1.11861e-07    5.27586e-08    1.43863e-11    1.01639e-07       0.908617
        2.81248        22.7062        3.30219        2.75182    0.000710201    2.34673e-07    1.05981e-07    4.31666e-11    1.94728e-07       0.829783
        4.20202        31.6336        5.03673        4.19728     0.00100236    4.81688e-07    2.07044e-07    1.26834e-10     3.6839e-07       0.764789
        6.13612        44.0709        7.47535        6.22946     0.00137323    9.41961e-07    3.85193e-07    3.52418e-10    6.73877e-07       0.715397
        8.82358        61.3981        10.8719        9.05992     0.00179792     1.7065e-06    6.66909e-07    8.91458e-10    1.15836e-06       0.678796
        12.5543        85.5377        15.5828        12.9856     0.00222354    2.79337e-06    1.05093e-06    1.97763e-09    1.82023e-06       0.651623
         17.737        119.168        22.1181        18.4317     0.00259463    4.08471e-06    1.49119e-06    3.75479e-09    2.57987e-06       0.631592
        24.9472        166.021        31.2033        26.0027     0.00288646    5.38493e-06    1.92146e-06    6.10442e-09    3.32285e-06       0.617065
        34.9865        231.296        43.8496        36.5413     0.00310447    6.54409e-06    2.29612e-06    8.69234e-09    3.97016e-06        0.60668
        48.9696        322.233        61.4617        51.2181     0.00326412    7.50081e-06    2.59992e-06    1.11807e-08     4.4953e-06       0.599308
        68.4481        448.925        85.9942        71.6618     0.00338004      8.254e-06    2.83603e-06    1.33608e-08    4.90357e-06       0.594084
        95.5836        625.427        120.169        100.141     0.00346385    8.82954e-06    3.01478e-06    1.51555e-08    5.21276e-06       0.590377
        133.387        871.324        167.779        139.816     0.00352428    9.26087e-06    3.14786e-06    1.65723e-08    5.44299e-06        0.58774
        186.051         1213.9        234.106        195.088      0.0035678    9.57994e-06    3.24584e-06    1.76595e-08    5.61251e-06       0.585861
        259.424        1691.17        326.512        272.093     0.00359908    9.81381e-06     3.3174e-06    1.84773e-08    5.73637e-06        0.58452
        361.648        2356.08        455.251        379.376     0.00362153    9.98414e-06     3.3694e-06    1.90839e-08     5.8264e-06       0.583566
         504.05        3282.41        634.593        528.828     0.00363775    1.01079e-05    3.40712e-06    1.95306e-08    5.89166e-06       0.582875
        702.424        4572.94         884.43        737.025     0.00364948    1.01975e-05    3.43438e-06     1.9857e-08    5.93871e-06       0.582368
        978.801        6370.87         1232.5        1027.09     0.00365781    1.02619e-05    3.45397e-06    2.00928e-08     5.9726e-06       0.582019
        1363.89        8875.68        1717.47        1431.22     0.00366378    1.03088e-05    3.46834e-06    2.02655e-08     5.9976e-06       0.581797
        1900.42        12365.3        2393.16         1994.3     0.00366804    1.03426e-05    3.47867e-06    2.03907e-08    6.01565e-06       0.581636
        2647.89        17226.9        3334.51        2778.76     0.00367082    1.03648e-05    3.48524e-06    2.04728e-08    6.02701e-06       0.581489
        3689.16          24000         4645.9        3871.58     0.00367273    1.03796e-05    3.48952e-06    2.05281e-08    6.03429e-06       0.581358
            HML            HML            HML            HML     0.00367894    1.04273e-05    3.50421e-06    2.07054e-08     6.0597e-06       0.581137
