      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta            d/p          He3/p         H3La/p          He4/p    H3La/Lambda             S3
       0.116668              6       0.127479       0.106233    0.000174143    1.28882e-08    6.46148e-09    6.07955e-13    1.46088e-08         1.1335
       0.186274          8.359       0.206181       0.171818    0.000242942    2.56254e-08    1.27758e-08    1.65266e-12     2.7479e-08        1.07234
       0.298551        11.6455       0.336178       0.280148    0.000344528     5.2573e-08    2.57016e-08    4.73479e-12     5.2271e-08       0.994256
       0.471795        16.2241       0.542654       0.452212    0.000493389    1.10009e-07    5.20607e-08    1.40455e-11    1.00117e-07       0.910081
       0.724597        22.6029       0.853019       0.710849    0.000706339    2.30726e-07    1.04589e-07    4.21164e-11    1.91825e-07       0.831399
        1.08024        31.4896        1.29944        1.08287    0.000997334    4.73986e-07     2.0451e-07    1.23847e-10    3.63238e-07       0.766347
        1.57538        43.8703        1.92769        1.60641     0.00136749    9.28684e-07    3.81113e-07    3.44897e-10    6.65658e-07       0.716775
        2.26342        61.1186        2.80304        2.33586     0.00179242      1.687e-06    6.61307e-07    8.75429e-10    1.14707e-06       0.679949
        3.21842        85.1484        4.01705        3.34754     0.00221926    2.76966e-06    1.04459e-06    1.94987e-09    1.80731e-06       0.652538
        4.54488        118.626        5.70093        4.75078      0.0025919    4.06078e-06    1.48527e-06    3.71641e-09    2.56757e-06       0.632284
        6.39003        165.266        8.04152        6.70126     0.00288493    5.36398e-06     1.9167e-06    6.06111e-09    3.31264e-06       0.617571
        8.95905        230.243        11.2994        9.41614     0.00310367    6.52729e-06     2.2926e-06    8.65043e-09    3.96234e-06       0.607041
        12.5372        320.767        15.8364         13.197     0.00326372    7.48797e-06    2.59741e-06    1.11442e-08    4.48953e-06       0.599565
        17.5215        446.881         22.156        18.4633     0.00337985    8.24443e-06    2.83426e-06     1.3331e-08    4.89939e-06       0.594266
         24.465         622.58        30.9596        25.7997     0.00346376    8.82252e-06    3.01355e-06    1.51321e-08    5.20975e-06       0.590506
        34.1382        867.358         43.224          36.02     0.00352424    9.25575e-06    3.14699e-06    1.65545e-08    5.44083e-06       0.587833
        47.6143        1208.37        60.3098        50.2581     0.00356779    9.57623e-06    3.24523e-06    1.76462e-08    5.61097e-06       0.585927
        66.3889        1683.47        84.1131        70.0943     0.00359909    9.81116e-06    3.31698e-06    1.84675e-08    5.73528e-06       0.584567
        92.5458        2345.35        117.276        97.7301     0.00362155    9.98223e-06     3.3691e-06    1.90768e-08    5.82562e-06       0.583599
        128.986        3267.47        163.476         136.23     0.00363773    1.01065e-05    3.40688e-06    1.95251e-08    5.89107e-06       0.582901
        179.748        4552.13        227.837        189.864     0.00364944    1.01965e-05    3.43419e-06     1.9853e-08    5.93829e-06       0.582387
        250.468        6341.87        317.499        264.583     0.00365782    1.02612e-05    3.45386e-06    2.00902e-08     5.9723e-06       0.582029
            349        8835.28        442.422        368.685     0.00366382    1.03083e-05    3.46827e-06    2.02637e-08    5.99737e-06         0.5818
        486.283          12309        616.474        513.728     0.00366809    1.03424e-05    3.47865e-06    2.03896e-08    6.01552e-06       0.581638
        677.546        17148.5        858.965        715.804     0.00367085    1.03647e-05    3.48526e-06    2.04722e-08      6.027e-06       0.581495
        943.995        23890.8        1196.78         997.32     0.00367272    1.03795e-05     3.4895e-06    2.05274e-08    6.03426e-06       0.581364
        1315.18        33283.8         1667.4         1389.5     0.00367448    1.03928e-05    3.49344e-06    2.05773e-08    6.04101e-06       0.581267
         1832.3        46369.9        2323.04        1935.86     0.00367619    1.04055e-05    3.49741e-06    2.06249e-08    6.04785e-06       0.581215
        2552.72          64601        3236.43        2697.03     0.00367747     1.0415e-05    3.50045e-06    2.06606e-08    6.05313e-06       0.581192
        3556.39          90000        4508.93        3757.44     0.00367818    1.04202e-05    3.50212e-06    2.06802e-08    6.05603e-06        0.58118
            HML            HML            HML            HML     0.00367894    1.04273e-05    3.50421e-06    2.07054e-08     6.0597e-06       0.581137
