      dNpipm/dy        Vc[fm3]        dNch/dy      dNch/deta            d/p          He3/p         H3La/p          He4/p    H3La/Lambda             S3
      0.0766118              1      0.0814348      0.0678623    4.39316e-05    7.18969e-10    2.74001e-10    1.04936e-14    7.08679e-10       0.985687
       0.111174        1.39317       0.118425      0.0986874     5.3271e-05    1.07856e-09    4.52602e-10    1.83853e-14    1.15673e-09        1.07247
       0.163537        1.94091       0.174725       0.145604    6.65589e-05    1.72585e-09     7.7999e-10    3.51208e-14    1.96128e-09        1.13641
        0.24466        2.70402       0.262495       0.218746    8.55916e-05    2.93138e-09    1.39649e-09    7.33834e-14    3.43527e-09        1.17189
       0.373351        3.76715       0.402927       0.335772    0.000113073    5.25294e-09    2.58693e-09    1.67317e-13    6.18126e-09        1.17672
       0.581907        5.24826       0.633185       0.527654    0.000153105    9.87053e-09    4.93896e-09    4.13383e-13    1.13663e-08        1.15153
       0.924051        7.31171        1.01699       0.847496    0.000211909    1.93339e-08    9.67768e-09    1.09583e-12    2.12591e-08        1.09958
        1.48162        10.1864        1.65595        1.37996    0.000298724    3.92104e-08    1.93529e-08    3.07929e-12     4.0276e-08        1.02718
        2.36001        14.1914         2.6902        2.24183    0.000426539    8.15386e-08    3.91534e-08    9.02968e-12    7.69746e-08       0.944026
        3.67016         19.771        4.28019        3.56682    0.000611603    1.71281e-07    7.90859e-08    2.70485e-11    1.47619e-07       0.861853
         5.5338        27.5443        6.60184        5.50153    0.000869954    3.55908e-07     1.5672e-07    8.04872e-11    2.81419e-07       0.790706
        8.13402        38.3738         9.8909        8.24241     0.00120938    7.13181e-07    2.98575e-07    2.30143e-10    5.24221e-07       0.735047
        11.7495        53.4611        14.4885        12.0738     0.00161717    1.34026e-06    5.34787e-07    6.09339e-10    9.29494e-07       0.693517
        16.7693        74.4802        20.8731        17.3943     0.00205072    2.29784e-06    8.79415e-07    1.43661e-09    1.52263e-06       0.662637
        23.7381        103.763        29.7243        24.7702      0.0024505    3.52682e-06    1.30482e-06    2.92047e-09    2.25614e-06       0.639711
        33.4264         144.56        42.0167        35.0139     0.00277631     4.8482e-06    1.74736e-06    5.06374e-09    3.02011e-06       0.622935
        46.9118        201.396        59.1195        49.2662     0.00302335    6.08032e-06     2.1491e-06    7.59963e-09    3.71426e-06       0.610866
        65.6923        280.578        82.9336        69.1113     0.00320516    7.12554e-06    2.48297e-06    1.01659e-08    4.29156e-06       0.602278
        91.8522        390.892        116.103        96.7523     0.00333743    7.96229e-06    2.74623e-06    1.24926e-08    4.74703e-06       0.596189
        128.294        544.578        162.308        135.256     0.00343314    8.60849e-06    2.94734e-06    1.44523e-08    5.09512e-06       0.591872
        179.063        758.688        226.675        188.896     0.00350218    9.09614e-06    3.09792e-06    1.60233e-08    5.35584e-06       0.588804
        249.789        1056.98        316.347        263.622     0.00355191    9.45855e-06     3.2092e-06    1.72415e-08    5.54857e-06        0.58662
        348.322        1472.55        441.273        367.727     0.00358769    9.72511e-06    3.29073e-06    1.81646e-08    5.68978e-06       0.585061
        485.599         2051.5        615.319        512.766     0.00361337    9.91966e-06    3.35005e-06    1.88529e-08     5.7926e-06       0.583951
         676.85        2858.09        857.795        714.829     0.00363182     1.0061e-05    3.39308e-06    1.93606e-08    5.86717e-06       0.583157
        943.273        3981.79        1195.58         996.32     0.00364517    1.01636e-05    3.42423e-06    1.97331e-08    5.92108e-06       0.582575
        1314.43         5547.3        1666.16        1388.46     0.00365478    1.02376e-05    3.44667e-06    2.00035e-08    5.95986e-06       0.582156
        1831.53        7728.32        2321.76         1934.8     0.00366163     1.0291e-05    3.46297e-06    2.01999e-08    5.98813e-06        0.58188
           2552        10766.8         3235.2           2696     0.00366656    1.03301e-05    3.47493e-06    2.03443e-08    6.00902e-06       0.581699
        3555.81          15000        4507.86        3756.55     0.00366989    1.03569e-05      3.483e-06    2.04435e-08    6.02309e-06       0.581552
            HML            HML            HML            HML     0.00367894    1.04273e-05    3.50421e-06    2.07054e-08     6.0597e-06       0.581137
